,都道府県コード,都道府県名,元号,和暦（年）,西暦（年）,注,人口（総数）,前回集計時との差分,増減割合
0,00,全国,大正,9.0,1920.0,,"55,963,053",0,0.00%
48,00,全国,大正,14.0,1925.0,,"59,736,822","3,773,769",6.32%
96,00,全国,昭和,5.0,1930.0,,"64,450,005","4,713,183",7.31%
144,00,全国,昭和,10.0,1935.0,,"69,254,148","4,804,143",6.94%
192,00,全国,昭和,15.0,1940.0,,"73,114,308","3,860,160",5.28%
240,00,全国,昭和,20.0,1945.0,1),"71,998,104","-1,116,204",-1.55%
288,00,全国,昭和,25.0,1950.0,,"84,114,574","12,116,470",14.40%
336,00,全国,昭和,30.0,1955.0,,"90,076,594","5,962,020",6.62%
384,00,全国,昭和,35.0,1960.0,2),"94,301,623","4,225,029",4.48%
432,00,全国,昭和,40.0,1965.0,,"99,209,137","4,907,514",4.95%
480,00,全国,昭和,45.0,1970.0,,"104,665,171","5,456,034",5.21%
530,00,全国,昭和,50.0,1975.0,,"111,939,643","7,274,472",6.50%
580,00,全国,昭和,55.0,1980.0,,"117,060,396","5,120,753",4.37%
630,00,全国,昭和,60.0,1985.0,,"121,048,923","3,988,527",3.29%
680,00,全国,平成,2.0,1990.0,,"123,611,167","2,562,244",2.07%
730,00,全国,平成,7.0,1995.0,,"125,570,246","1,959,079",1.56%
780,00,全国,平成,12.0,2000.0,,"126,925,843","1,355,597",1.07%
830,00,全国,平成,17.0,2005.0,,"127,767,994","842,151",0.66%
880,00,全国,平成,22.0,2010.0,,"128,057,352","289,358",0.23%
930,00,全国,平成,27.0,2015.0,,"127,094,745","-962,607",-0.76%
1,01,北海道,大正,9.0,1920.0,,"2,359,183",0,0.00%
49,01,北海道,大正,14.0,1925.0,,"2,498,679","139,496",5.58%
97,01,北海道,昭和,5.0,1930.0,,"2,812,335","313,656",11.15%
145,01,北海道,昭和,10.0,1935.0,,"3,068,282","255,947",8.34%
193,01,北海道,昭和,15.0,1940.0,,"3,272,718","204,436",6.25%
241,01,北海道,昭和,20.0,1945.0,1),"3,518,389","245,671",6.98%
289,01,北海道,昭和,25.0,1950.0,,"4,295,567","777,178",18.09%
337,01,北海道,昭和,30.0,1955.0,,"4,773,087","477,520",10.00%
385,01,北海道,昭和,35.0,1960.0,2),"5,039,206","266,119",5.28%
433,01,北海道,昭和,40.0,1965.0,,"5,171,800","132,594",2.56%
483,01,北海道,昭和,45.0,1970.0,,"5,184,287","12,487",0.24%
533,01,北海道,昭和,50.0,1975.0,,"5,338,206","153,919",2.88%
583,01,北海道,昭和,55.0,1980.0,,"5,575,989","237,783",4.26%
633,01,北海道,昭和,60.0,1985.0,,"5,679,439","103,450",1.82%
683,01,北海道,平成,2.0,1990.0,,"5,643,647","-35,792",-0.63%
733,01,北海道,平成,7.0,1995.0,,"5,692,321","48,674",0.86%
783,01,北海道,平成,12.0,2000.0,,"5,683,062","-9,259",-0.16%
833,01,北海道,平成,17.0,2005.0,,"5,627,737","-55,325",-0.98%
883,01,北海道,平成,22.0,2010.0,,"5,506,419","-121,318",-2.20%
933,01,北海道,平成,27.0,2015.0,,"5,381,733","-124,686",-2.32%
2,02,青森県,大正,9.0,1920.0,,"756,454",0,0.00%
50,02,青森県,大正,14.0,1925.0,,"812,977","56,523",6.95%
98,02,青森県,昭和,5.0,1930.0,,"879,914","66,937",7.61%
146,02,青森県,昭和,10.0,1935.0,,"967,129","87,215",9.02%
194,02,青森県,昭和,15.0,1940.0,,"1,000,509","33,380",3.34%
242,02,青森県,昭和,20.0,1945.0,1),"1,083,250","82,741",7.64%
290,02,青森県,昭和,25.0,1950.0,,"1,282,867","199,617",15.56%
338,02,青森県,昭和,30.0,1955.0,,"1,382,523","99,656",7.21%
386,02,青森県,昭和,35.0,1960.0,2),"1,426,606","44,083",3.09%
434,02,青森県,昭和,40.0,1965.0,,"1,416,591","-10,015",-0.71%
484,02,青森県,昭和,45.0,1970.0,,"1,427,520","10,929",0.77%
534,02,青森県,昭和,50.0,1975.0,,"1,468,646","41,126",2.80%
584,02,青森県,昭和,55.0,1980.0,,"1,523,907","55,261",3.63%
634,02,青森県,昭和,60.0,1985.0,,"1,524,448",541,0.04%
684,02,青森県,平成,2.0,1990.0,,"1,482,873","-41,575",-2.80%
734,02,青森県,平成,7.0,1995.0,,"1,481,663","-1,210",-0.08%
784,02,青森県,平成,12.0,2000.0,,"1,475,728","-5,935",-0.40%
834,02,青森県,平成,17.0,2005.0,,"1,436,657","-39,071",-2.72%
884,02,青森県,平成,22.0,2010.0,,"1,373,339","-63,318",-4.61%
934,02,青森県,平成,27.0,2015.0,,"1,308,265","-65,074",-4.97%
3,03,岩手県,大正,9.0,1920.0,,"845,540",0,0.00%
51,03,岩手県,大正,14.0,1925.0,,"900,984","55,444",6.15%
99,03,岩手県,昭和,5.0,1930.0,,"975,771","74,787",7.66%
147,03,岩手県,昭和,10.0,1935.0,,"1,046,111","70,340",6.72%
195,03,岩手県,昭和,15.0,1940.0,,"1,095,793","49,682",4.53%
243,03,岩手県,昭和,20.0,1945.0,1),"1,227,789","131,996",10.75%
291,03,岩手県,昭和,25.0,1950.0,,"1,346,728","118,939",8.83%
339,03,岩手県,昭和,30.0,1955.0,,"1,427,097","80,369",5.63%
387,03,岩手県,昭和,35.0,1960.0,2),"1,448,517","21,420",1.48%
435,03,岩手県,昭和,40.0,1965.0,,"1,411,118","-37,399",-2.65%
485,03,岩手県,昭和,45.0,1970.0,,"1,371,383","-39,735",-2.90%
535,03,岩手県,昭和,50.0,1975.0,,"1,385,563","14,180",1.02%
585,03,岩手県,昭和,55.0,1980.0,,"1,421,927","36,364",2.56%
